Sample equal_delay orig_delay nn_delay gain
0 1.974056e+01 2.103868e+01 1.959702e+01 6.852425e-02
1 1.971108e+01 2.110736e+01 1.957010e+01 7.283035e-02
2 1.955006e+01 2.106935e+01 1.943013e+01 7.780109e-02
3 1.972583e+01 2.144322e+01 1.958713e+01 8.655846e-02
4 1.973592e+01 2.150217e+01 1.959439e+01 8.872506e-02
5 1.951454e+01 2.119857e+01 1.938866e+01 8.537878e-02
6 1.954179e+01 2.134901e+01 1.941526e+01 9.057778e-02
7 1.967768e+01 2.164945e+01 1.953965e+01 9.745269e-02
8 1.946540e+01 2.135284e+01 1.931427e+01 9.547073e-02
9 1.968169e+01 2.142753e+01 1.952798e+01 8.865009e-02
10 1.954432e+01 2.166574e+01 1.939616e+01 1.047543e-01
11 1.964417e+01 2.130842e+01 1.950987e+01 8.440584e-02
12 1.971479e+01 2.134204e+01 1.957651e+01 8.272535e-02
13 1.959219e+01 2.115288e+01 1.944813e+01 8.059178e-02
14 1.953063e+01 2.106771e+01 1.941075e+01 7.864928e-02
15 1.983635e+01 2.169745e+01 1.970339e+01 9.190264e-02
16 1.944308e+01 2.105853e+01 1.931409e+01 8.283767e-02
17 1.965101e+01 2.108415e+01 1.950999e+01 7.466110e-02
18 1.985250e+01 2.102154e+01 1.971425e+01 6.218806e-02
19 1.957723e+01 2.046122e+01 1.944728e+01 4.955455e-02
20 1.968838e+01 2.076619e+01 1.954352e+01 5.887817e-02
21 1.969930e+01 2.075419e+01 1.954951e+01 5.804511e-02
22 1.965150e+01 2.091430e+01 1.950276e+01 6.749157e-02
23 1.967013e+01 2.092889e+01 1.951402e+01 6.760380e-02
24 1.970990e+01 2.102200e+01 1.954813e+01 7.011123e-02
25 1.964160e+01 2.086485e+01 1.948753e+01 6.601164e-02
26 1.918587e+01 2.047531e+01 1.905257e+01 6.948603e-02
27 1.949826e+01 2.067224e+01 1.934708e+01 6.410321e-02
28 1.943188e+01 2.089018e+01 1.927541e+01 7.729798e-02
29 1.953507e+01 2.059392e+01 1.937688e+01 5.909674e-02
30 1.967177e+01 2.087554e+01 1.951888e+01 6.498831e-02
31 1.971392e+01 2.107235e+01 1.956404e+01 7.157793e-02
32 1.993476e+01 2.154800e+01 1.961809e+01 8.956350e-02
33 1.992162e+01 2.115152e+01 1.948208e+01 7.892771e-02
34 1.960778e+01 2.106450e+01 1.902602e+01 9.677327e-02
35 1.978754e+01 2.076708e+01 1.909678e+01 8.043018e-02
36 1.980785e+01 2.061478e+01 1.896815e+01 7.987584e-02
37 1.982783e+01 2.109956e+01 1.883938e+01 1.071197e-01
38 1.972006e+01 2.117847e+01 1.859719e+01 1.218825e-01
39 1.992747e+01 2.121991e+01 1.872187e+01 1.177215e-01
40 1.973039e+01 2.116697e+01 1.842058e+01 1.297490e-01
41 1.977778e+01 2.111869e+01 1.833855e+01 1.316434e-01
42 1.983928e+01 2.133042e+01 1.834098e+01 1.401493e-01
43 1.992600e+01 2.141379e+01 1.837541e+01 1.418890e-01
44 1.968796e+01 2.107657e+01 1.797222e+01 1.472888e-01
45 1.981288e+01 2.093795e+01 1.806234e+01 1.373398e-01
46 1.957659e+01 2.115459e+01 1.762165e+01 1.670058e-01
47 1.982022e+01 2.124462e+01 1.809934e+01 1.480504e-01
48 1.985847e+01 2.092541e+01 1.809585e+01 1.352215e-01
49 1.992212e+01 2.089689e+01 1.836816e+01 1.210099e-01
50 1.970301e+01 2.125989e+01 1.830103e+01 1.391758e-01
51 1.994369e+01 2.100451e+01 1.838861e+01 1.245398e-01
52 1.968335e+01 2.062877e+01 1.814952e+01 1.201844e-01
53 1.976842e+01 2.087775e+01 1.797169e+01 1.391941e-01
54 1.990997e+01 2.102804e+01 1.818442e+01 1.352299e-01
55 1.983481e+01 2.085584e+01 1.830582e+01 1.222688e-01
56 1.996766e+01 2.125863e+01 1.834360e+01 1.371220e-01
57 1.992523e+01 2.131748e+01 1.821357e+01 1.456043e-01
58 1.974897e+01 2.119329e+01 1.774625e+01 1.626475e-01
59 1.987392e+01 2.130743e+01 1.789341e+01 1.602267e-01
60 1.991066e+01 2.161694e+01 1.762706e+01 1.845719e-01
61 1.989023e+01 2.157550e+01 1.734358e+01 1.961448e-01
62 1.968540e+01 2.137523e+01 1.681273e+01 2.134479e-01
63 1.995238e+01 2.176046e+01 1.726155e+01 2.067469e-01
64 1.970644e+01 2.176782e+01 1.672219e+01 2.317931e-01
65 1.996854e+01 2.179524e+01 1.708810e+01 2.159707e-01
66 2.000592e+01 2.177151e+01 1.713888e+01 2.127840e-01
67 1.998520e+01 2.174159e+01 1.693841e+01 2.209212e-01
68 1.990602e+01 2.211939e+01 1.720959e+01 2.219680e-01
69 1.986530e+01 2.126193e+01 1.644906e+01 2.263608e-01
70 1.951483e+01 2.105677e+01 1.584227e+01 2.476401e-01
71 1.970601e+01 2.105134e+01 1.624331e+01 2.283958e-01
72 1.970300e+01 2.085350e+01 1.623852e+01 2.213049e-01
73 1.968762e+01 2.095862e+01 1.618624e+01 2.277048e-01
74 1.945836e+01 2.083899e+01 1.580914e+01 2.413674e-01
75 1.967604e+01 2.102292e+01 1.594276e+01 2.416486e-01
76 1.974187e+01 2.101114e+01 1.603923e+01 2.366324e-01
77 1.977479e+01 2.095134e+01 1.625169e+01 2.243130e-01
